target,age_grp,forecast_week,bin_start_incl
Season peak week,0-4 yr,NA,7.0
Season peak rate,0-4 yr,NA,4.2
Season peak week,18-49 yr,NA,8.0
Season peak rate,18-49 yr,NA,1.7
Season peak week,5-17 yr,NA,7.0
Season peak rate,5-17 yr,NA,1.8
Season peak week,50-64 yr,NA,8.0
Season peak rate,50-64 yr,NA,5.5
Season peak week,65 + yr,NA,8.0
Season peak rate,65 + yr,NA,24.8
Season peak week,Overall,NA,8.0
Season peak rate,Overall,NA,5.6
1 wk ahead,0-4 yr,48,0.6
1 wk ahead,5-17 yr,48,0.1
1 wk ahead,18-49 yr,48,0.2
1 wk ahead,50-64 yr,48,0.6
1 wk ahead,65 + yr,48,2.7
1 wk ahead,Overall,48,0.6
1 wk ahead,0-4 yr,49,0.5
1 wk ahead,5-17 yr,49,0.2
1 wk ahead,18-49 yr,49,0.4
1 wk ahead,50-64 yr,49,1.1
1 wk ahead,65 + yr,49,3.4
1 wk ahead,Overall,49,0.9
1 wk ahead,0-4 yr,50,1.6
1 wk ahead,5-17 yr,50,0.3
1 wk ahead,18-49 yr,50,0.5
1 wk ahead,50-64 yr,50,1.5
1 wk ahead,65 + yr,50,7.6
1 wk ahead,Overall,50,1.7
1 wk ahead,0-4 yr,51,1.4
1 wk ahead,5-17 yr,51,0.3
1 wk ahead,18-49 yr,51,0.9
1 wk ahead,50-64 yr,51,3.0
1 wk ahead,65 + yr,51,17.4
1 wk ahead,Overall,51,3.4
1 wk ahead,0-4 yr,52,1.3
1 wk ahead,5-17 yr,52,0.3
1 wk ahead,18-49 yr,52,1.1
1 wk ahead,50-64 yr,52,4.2
1 wk ahead,65 + yr,52,23.0
1 wk ahead,Overall,52,4.4
1 wk ahead,0-4 yr,1,1.6
1 wk ahead,5-17 yr,1,0.8
1 wk ahead,18-49 yr,1,1.1
1 wk ahead,50-64 yr,1,4.1
1 wk ahead,65 + yr,1,19.3
1 wk ahead,Overall,1,4.0
1 wk ahead,0-4 yr,2,1.8
