"target","location","forecast_week","bin_start_incl"
"Season peak week","Alabama",NA,"6.0"
"Season peak percentage","Alabama",NA,"7.8"
"Season peak week","Alaska",NA,"7.0"
"Season peak percentage","Alaska",NA,"4.3"
"Season peak week","Alaska",NA,"13.0"
"Season peak week","Arizona",NA,"9.0"
"Season peak percentage","Arizona",NA,"2.8"
"Season peak week","Arizona",NA,"17.0"
"Season peak week","Arkansas",NA,"6.0"
"Season peak percentage","Arkansas",NA,"9.8"
"Season peak week","California",NA,"52.0"
"Season peak percentage","California",NA,"3.5"
"Season peak week","Colorado",NA,"7.0"
"Season peak percentage","Colorado",NA,"3.5"
"Season peak week","Connecticut",NA,"6.0"
"Season peak percentage","Connecticut",NA,"5.5"
"Season peak week","Delaware",NA,"7.0"
"Season peak percentage","Delaware",NA,"1.3"
"Season peak week","District of Columbia",NA,"6.0"
"Season peak percentage","District of Columbia",NA,"9.4"
"Season peak week","Georgia",NA,"7.0"
"Season peak percentage","Georgia",NA,"6.2"
"Season peak week","Hawaii",NA,"4.0"
"Season peak percentage","Hawaii",NA,"5.1"
"Season peak week","Idaho",NA,"3.0"
"Season peak percentage","Idaho",NA,"2.8"
"Season peak week","Illinois",NA,"7.0"
"Season peak percentage","Illinois",NA,"4.8"
"Season peak week","Indiana",NA,"7.0"
"Season peak percentage","Indiana",NA,"6.0"
"Season peak week","Iowa",NA,"6.0"
"Season peak percentage","Iowa",NA,"3.2"
"Season peak week","Kansas",NA,"6.0"
"Season peak percentage","Kansas",NA,"10.4"
"Season peak week","Kentucky",NA,"7.0"
"Season peak percentage","Kentucky",NA,"9.2"
"Season peak week","Louisiana",NA,NA
"Season peak percentage","Louisiana",NA,NA
"Season peak week","Maine",NA,"12.0"
"Season peak percentage","Maine",NA,"2.2"
"Season peak week","Maryland",NA,"7.0"
"Season peak percentage","Maryland",NA,"6.1"
"Season peak week","Massachusetts",NA,"6.0"
"Season peak percentage","Massachusetts",NA,"2.7"
"Season peak week","Michigan",NA,"7.0"
"Season peak percentage","Michigan",NA,"4.6"
"Season peak week","Minnesota",NA,"8.0"
"Season peak percentage","Minnesota",NA,"4.6"
"Season peak week","Mississippi",NA,"8.0"
"Season peak percentage","Mississippi",NA,"6.8"
"Season peak week","Missouri",NA,"6.0"
"Season peak percentage","Missouri",NA,"6.7"
"Season peak week","Montana",NA,"51.0"
"Season peak percentage","Montana",NA,"0.6"
"Season peak week","Nebraska",NA,"6.0"
"Season peak percentage","Nebraska",NA,"4.2"
"Season peak week","Nevada",NA,"52.0"
"Season peak percentage","Nevada",NA,"2.1"
"Season peak week","New Hampshire",NA,"14.0"
"Season peak percentage","New Hampshire",NA,"1.8"
"Season peak week","New Jersey",NA,"6.0"
"Season peak percentage","New Jersey",NA,"6.9"
"Season peak week","New Mexico",NA,"6.0"
"Season peak percentage","New Mexico",NA,"4.9"
"Season peak week","New York",NA,"6.0"
"Season peak percentage","New York",NA,"9.8"
"Season peak week","North Carolina",NA,"8.0"
"Season peak percentage","North Carolina",NA,"7.6"
"Season peak week","North Dakota",NA,"6.0"
"Season peak percentage","North Dakota",NA,"5.2"
"Season peak week","Ohio",NA,"8.0"
"Season peak percentage","Ohio",NA,"3.6"
"Season peak week","Oklahoma",NA,"5.0"
"Season peak percentage","Oklahoma",NA,"13.0"
"Season peak week","Oregon",NA,"52.0"
"Season peak percentage","Oregon",NA,"5.8"
"Season peak week","Pennsylvania",NA,"6.0"
"Season peak percentage","Pennsylvania",NA,"5.8"
"Season peak week","Puerto Rico",NA,"51.0"
"Season peak percentage","Puerto Rico",NA,"12.1"
"Season peak week","Puerto Rico",NA,"52.0"
"Season peak week","Rhode Island",NA,"8.0"
"Season peak percentage","Rhode Island",NA,"4.3"
"Season peak week","South Carolina",NA,"12.0"
"Season peak percentage","South Carolina",NA,"7.7"
"Season peak week","South Dakota",NA,"6.0"
"Season peak percentage","South Dakota",NA,"4.9"
"Season peak week","Tennessee",NA,"6.0"
"Season peak percentage","Tennessee",NA,"7.4"
"Season peak week","Texas",NA,"6.0"
"Season peak percentage","Texas",NA,"10.3"
"Season peak week","Utah",NA,"52.0"
"Season peak percentage","Utah",NA,"3.9"
"Season peak week","Vermont",NA,"10.0"
"Season peak percentage","Vermont",NA,"2.0"
"Season peak week","Virgin Islands",NA,"47.0"
"Season peak percentage","Virgin Islands",NA,"7.6"
"Season peak week","Virginia",NA,"8.0"
"Season peak percentage","Virginia",NA,"6.7"
"Season peak week","Washington",NA,"3.0"
"Season peak percentage","Washington",NA,"3.8"
"Season peak week","West Virginia",NA,"7.0"
"Season peak percentage","West Virginia",NA,"3.6"
"Season peak week","Wisconsin",NA,"6.0"
"Season peak percentage","Wisconsin",NA,"3.7"
"Season peak week","Wyoming",NA,"5.0"
"Season peak percentage","Wyoming",NA,"4.3"
"1 wk ahead","Alabama",43,"2.7"
"1 wk ahead","Alaska",43,"0.5"
"1 wk ahead","Arizona",43,"1.3"
"1 wk ahead","Arkansas",43,"1.3"
"1 wk ahead","California",43,"1.6"
"1 wk ahead","Colorado",43,"0.4"
"1 wk ahead","Connecticut",43,"1.7"
"1 wk ahead","Delaware",43,"0.4"
"1 wk ahead","District of Columbia",43,"4.8"
"1 wk ahead","Georgia",43,"2.4"
"1 wk ahead","Hawaii",43,"2.3"
"1 wk ahead","Idaho",43,"0.4"
"1 wk ahead","Illinois",43,"1.7"
"1 wk ahead","Indiana",43,"1.1"
"1 wk ahead","Iowa",43,"0.1"
"1 wk ahead","Kansas",43,"0.8"
"1 wk ahead","Kentucky",43,"0.7"
"1 wk ahead","Louisiana",43,"1.9"
"1 wk ahead","Maine",43,"0.9"
"1 wk ahead","Maryland",43,"1.0"
"1 wk ahead","Massachusetts",43,"0.8"
"1 wk ahead","Michigan",43,"1.6"
"1 wk ahead","Minnesota",43,"0.8"
"1 wk ahead","Mississippi",43,"2.9"
"1 wk ahead","Missouri",43,"1.4"
"1 wk ahead","Montana",43,"0.1"
"1 wk ahead","Nebraska",43,"0.4"
"1 wk ahead","Nevada",43,"0.9"
"1 wk ahead","New Hampshire",43,"0.5"
