"target","location","forecast_week","bin_start_incl"
"Season onset","HHS Region 1",NA,"51"
"Season peak week","HHS Region 1",NA,"10"
"Season peak percentage","HHS Region 1",NA,"2.5"
"Season onset","HHS Region 10",NA,"2"
"Season peak week","HHS Region 10",NA,"7"
"Season peak percentage","HHS Region 10",NA,"2.4"
"Season onset","HHS Region 2",NA,"4"
"Season peak week","HHS Region 2",NA,"11"
"Season peak percentage","HHS Region 2",NA,"4.1"
"Season onset","HHS Region 3",NA,"47"
"Season peak week","HHS Region 3",NA,"10"
"Season peak percentage","HHS Region 3",NA,"4"
"Season onset","HHS Region 4",NA,"3"
"Season peak week","HHS Region 4",NA,"10"
"Season peak percentage","HHS Region 4",NA,"3.6"
"Season onset","HHS Region 5",NA,"7"
"Season peak week","HHS Region 5",NA,"10"
"Season peak percentage","HHS Region 5",NA,"3.2"
"Season onset","HHS Region 6",NA,"47"
"Season peak week","HHS Region 6",NA,"7"
"Season peak percentage","HHS Region 6",NA,"5.3"
"Season onset","HHS Region 7",NA,"7"
"Season peak week","HHS Region 7",NA,"10"
"Season peak percentage","HHS Region 7",NA,"2.5"
"Season onset","HHS Region 8",NA,"5"
"Season peak week","HHS Region 8",NA,"8"
"Season peak percentage","HHS Region 8",NA,"2.2"
"Season peak week","HHS Region 8",NA,"11"
"Season onset","HHS Region 9",NA,"3"
"Season peak week","HHS Region 9",NA,"7"
"Season peak percentage","HHS Region 9",NA,"4.4"
"Season onset","US National",NA,"3"
"Season peak week","US National",NA,"10"
"Season peak percentage","US National",NA,"3.5"
"1 wk ahead","US National",42,"1.4"
"1 wk ahead","HHS Region 1",42,"0.8"
"1 wk ahead","HHS Region 2",42,"1.1"
"1 wk ahead","HHS Region 3",42,"1.4"
"1 wk ahead","HHS Region 4",42,"1.1"
"1 wk ahead","HHS Region 5",42,"1"
"1 wk ahead","HHS Region 6",42,"3.1"
"1 wk ahead","HHS Region 7",42,"0.9"
"1 wk ahead","HHS Region 8",42,"0.6"
"1 wk ahead","HHS Region 9",42,"1.6"
"1 wk ahead","HHS Region 10",42,"0.9"
"1 wk ahead","US National",43,"1.4"
"1 wk ahead","HHS Region 1",43,"0.9"
"1 wk ahead","HHS Region 2",43,"1.2"
"1 wk ahead","HHS Region 3",43,"1.5"
"1 wk ahead","HHS Region 4",43,"1.1"
"1 wk ahead","HHS Region 5",43,"1.2"
"1 wk ahead","HHS Region 6",43,"2.9"
"1 wk ahead","HHS Region 7",43,"1.2"
"1 wk ahead","HHS Region 8",43,"0.7"
"1 wk ahead","HHS Region 9",43,"1.8"
"1 wk ahead","HHS Region 10",43,"0.5"
"1 wk ahead","US National",44,"1.5"
"1 wk ahead","HHS Region 1",44,"0.8"
"1 wk ahead","HHS Region 2",44,"1.1"
"1 wk ahead","HHS Region 3",44,"1.6"
"1 wk ahead","HHS Region 4",44,"1.2"
"1 wk ahead","HHS Region 5",44,"1.3"
"1 wk ahead","HHS Region 6",44,"3.3"
"1 wk ahead","HHS Region 7",44,"1.2"
"1 wk ahead","HHS Region 8",44,"0.7"
"1 wk ahead","HHS Region 9",44,"1.7"
"1 wk ahead","HHS Region 10",44,"0.9"
"1 wk ahead","US National",45,"1.6"
"1 wk ahead","HHS Region 1",45,"0.7"
"1 wk ahead","HHS Region 2",45,"1.4"
"1 wk ahead","HHS Region 3",45,"1.7"
"1 wk ahead","HHS Region 4",45,"1.3"
"1 wk ahead","HHS Region 5",45,"1.2"
"1 wk ahead","HHS Region 6",45,"3.2"
"1 wk ahead","HHS Region 7",45,"1.1"
"1 wk ahead","HHS Region 8",45,"0.8"
"1 wk ahead","HHS Region 9",45,"2"
"1 wk ahead","HHS Region 10",45,"0.7"
"1 wk ahead","US National",46,"1.9"
"1 wk ahead","HHS Region 1",46,"1"
"1 wk ahead","HHS Region 2",46,"1.4"
"1 wk ahead","HHS Region 3",46,"2.2"
"1 wk ahead","HHS Region 4",46,"1.7"
"1 wk ahead","HHS Region 5",46,"1.4"
"1 wk ahead","HHS Region 6",46,"4"
"1 wk ahead","HHS Region 7",46,"1.3"
"1 wk ahead","HHS Region 8",46,"1"
"1 wk ahead","HHS Region 9",46,"2.2"
"1 wk ahead","HHS Region 10",46,"0.8"
"1 wk ahead","US National",47,"1.7"
"1 wk ahead","HHS Region 1",47,"0.8"
"1 wk ahead","HHS Region 2",47,"1.6"
"1 wk ahead","HHS Region 3",47,"1.8"
"1 wk ahead","HHS Region 4",47,"1.4"
"1 wk ahead","HHS Region 5",47,"1.1"
"1 wk ahead","HHS Region 6",47,"3.6"
"1 wk ahead","HHS Region 7",47,"1"
"1 wk ahead","HHS Region 8",47,"0.7"
"1 wk ahead","HHS Region 9",47,"2"
"1 wk ahead","HHS Region 10",47,"0.8"
"1 wk ahead","US National",48,"1.8"
"1 wk ahead","HHS Region 1",48,"1"
"1 wk ahead","HHS Region 2",48,"1.9"
"1 wk ahead","HHS Region 3",48,"2"
"1 wk ahead","HHS Region 4",48,"1.4"
"1 wk ahead","HHS Region 5",48,"1.4"
"1 wk ahead","HHS Region 6",48,"3.7"
"1 wk ahead","HHS Region 7",48,"0.9"
